armed_prefix,child_order_count,child_order_id,child_status,client_order_id,client_order_ids,event,execution_id,filled_quantity,final_reason,final_status,monotonic_time,price,remaining_quantity,required_quantity,side,status,submitted_quantity,utc_timestamp
ce_3ddb8a479953_,,,,,,execution_created,exec_3ddb8a47995348d0,,,,0.0,,,0.010,,RUNNING,,1970-01-01T00:00:00+00:00
,,child_0001,UNKNOWN,ce_3ddb8a479953_1,,create_timeout_unknown,exec_3ddb8a47995348d0,0,CREATE_TIMEOUT_PENDING_RECONCILIATION,,0.0,50000.00,0.010,0.010,,RUNNING,0.010,1970-01-01T00:00:00+00:00
,,child_0001,OPEN,ce_3ddb8a479953_1,,run_before_reconcile_no_new_client_order_id,exec_3ddb8a47995348d0,0,CREATE_TIMEOUT_RECONCILED,,0.0,50000.00,0.010,0.010,,RUNNING,0.010,1970-01-01T00:00:00+00:00
,,child_0001,OPEN,ce_3ddb8a479953_1,,reconciled_original_open,exec_3ddb8a47995348d0,0,CREATE_TIMEOUT_RECONCILED,,0.0,50000.00,0.010,0.010,,RUNNING,0.010,1970-01-01T00:00:00+00:00
,1,,,,"[""ce_3ddb8a479953_1""]",result_summary,exec_3ddb8a47995348d0,,CREATE_TIMEOUT_RECONCILED,RUNNING,0.0,,,0.010,BUY,RUNNING,,1970-01-01T00:00:00+00:00
