event,execution,fill_count,monotonic_time,order_count,server_time_offset_ms,snapshot,symbol_rules,utc_timestamp,warnings
server_time_synchronized,,,220637.105311875,,-26,,,2026-06-23T10:05:49.190981+00:00,
market_snapshot,,,220638.155324916,,,"{""ask"": ""62459.70"", ""bid"": ""62459.60"", ""last_market_event_time_exchange"": 1782209150156, ""last_market_event_time_local_monotonic"": 220638.154929541, ""symbol"": ""BTCUSDT""}",,2026-06-23T10:05:50.240974+00:00,
symbol_rules_loaded,,,220639.097472958,,,,"{""rate_limits"": {""ORDERS"": 300, ""REQUEST_WEIGHT"": 6000}, ""rules"": {""min_notional"": ""50"", ""min_quantity"": ""0.0001"", ""quantity_step"": ""0.0001"", ""status"": ""TRADING"", ""supported_time_in_force"": [""FOK"", ""GTC"", ""GTD"", ""GTX"", ""IOC""], ""symbol"": ""BTCUSDT"", ""tick_size"": ""0.10""}, ""symbol"": ""BTCUSDT""}",2026-06-23T10:05:51.183141+00:00,
execution_created,"{""child_order_count"": 0, ""execution_id"": ""exec_85051310eb714ebe"", ""exposure"": {""confirmed_filled_quantity"": ""0"", ""live_open_quantity"": ""0"", ""pending_cancel_quantity"": ""0"", ""pending_submit_quantity"": ""0"", ""unknown_order_quantity"": ""0""}, ""final_reason"": null, ""status"": ""RUNNING""}",,220642.642062916,,,,,2026-06-23T10:05:54.727739+00:00,
run_once,"{""child_order_count"": 1, ""execution_id"": ""exec_85051310eb714ebe"", ""exposure"": {""confirmed_filled_quantity"": ""0"", ""live_open_quantity"": ""0"", ""pending_cancel_quantity"": ""0"", ""pending_submit_quantity"": ""0"", ""unknown_order_quantity"": ""0""}, ""final_reason"": ""TERMINAL_ORDER_REJECTED: BINANCE_-2019:Margin is insufficient."", ""metrics"": {""actual_duration_seconds"": ""2.700421125"", ""arrival_ask"": ""62459.7"", ""arrival_bid"": ""62451.8"", ""arrival_mid"": ""62455.75"", ""cancels_requested"": 0, ""child_order_count"": 1, ""completion_rate"": ""0"", ""duplicate_events_ignored"": 0, ""execution_vwap"": ""0"", ""filled_quantity"": ""0"", ""final_status"": ""FAILED"", ""initial_position"": ""0"", ""maker_filled_quantity"": ""0"", ""maker_fills"": 0, ""max_reserved_exposure"": ""0.001"", ""orders_submitted"": 1, ""overfill_quantity"": ""0"", ""price_bound_violations"": 0, ""rate_limit_backoff_blocks"": 0, ""rate_limit_backoff_seconds"": ""1"", ""rate_limit_backoffs"": 0, ""raw_required_quantity"": ""0.001"", ""rejections"": 1, ""reprices"": 0, ""requested_duration_seconds"": 12, ""required_quantity"": ""0.001"", ""retryable_order_reject_backoff_blocks"": 0, ""retryable_order_reject_backoff_seconds"": ""1"", ""retryable_order_reject_limit"": 3, ""retryable_order_reject_same_price_blocks"": 0, ""retryable_order_reject_streak"": 0, ""retryable_order_rejections"": 0, ""side"": ""BUY"", ""slippage_bps"": ""0"", ""taker_filled_quantity"": ""0"", ""taker_fills"": 0, ""target_dust_quantity"": ""0"", ""target_position"": ""0.001"", ""twap_slice_ledger"": [], ""unfilled_quantity"": ""0.001"", ""unknown_orders_reconciled"": 0}, ""status"": ""FAILED""}",,220645.342716666,,,,,2026-06-23T10:05:57.428390+00:00,
post_run_reconciliation,,0,220647.421416791,0,,,,2026-06-23T10:05:59.507079+00:00,[]
post_run_reconciliation_applied,"{""child_order_count"": 1, ""execution_id"": ""exec_85051310eb714ebe"", ""exposure"": {""confirmed_filled_quantity"": ""0"", ""live_open_quantity"": ""0"", ""pending_cancel_quantity"": ""0"", ""pending_submit_quantity"": ""0"", ""unknown_order_quantity"": ""0""}, ""final_reason"": ""TERMINAL_ORDER_REJECTED: BINANCE_-2019:Margin is insufficient."", ""metrics"": {""actual_duration_seconds"": ""2.700421125"", ""arrival_ask"": ""62459.7"", ""arrival_bid"": ""62451.8"", ""arrival_mid"": ""62455.75"", ""cancels_requested"": 0, ""child_order_count"": 1, ""completion_rate"": ""0"", ""duplicate_events_ignored"": 0, ""execution_vwap"": ""0"", ""filled_quantity"": ""0"", ""final_status"": ""FAILED"", ""initial_position"": ""0"", ""maker_filled_quantity"": ""0"", ""maker_fills"": 0, ""max_reserved_exposure"": ""0.001"", ""orders_submitted"": 1, ""overfill_quantity"": ""0"", ""price_bound_violations"": 0, ""rate_limit_backoff_blocks"": 0, ""rate_limit_backoff_seconds"": ""1"", ""rate_limit_backoffs"": 0, ""raw_required_quantity"": ""0.001"", ""rejections"": 1, ""reprices"": 0, ""requested_duration_seconds"": 12, ""required_quantity"": ""0.001"", ""retryable_order_reject_backoff_blocks"": 0, ""retryable_order_reject_backoff_seconds"": ""1"", ""retryable_order_reject_limit"": 3, ""retryable_order_reject_same_price_blocks"": 0, ""retryable_order_reject_streak"": 0, ""retryable_order_rejections"": 0, ""side"": ""BUY"", ""slippage_bps"": ""0"", ""taker_filled_quantity"": ""0"", ""taker_fills"": 0, ""target_dust_quantity"": ""0"", ""target_position"": ""0.001"", ""twap_slice_ledger"": [], ""unfilled_quantity"": ""0.001"", ""unknown_orders_reconciled"": 0}, ""status"": ""FAILED""}",,220647.42259075,,,,,2026-06-23T10:05:59.508266+00:00,
