child_order_count,child_order_id,child_status,client_order_id,client_order_ids,event,execution_id,filled_quantity,final_reason,final_status,metrics,monotonic_time,price,remaining_quantity,required_quantity,side,status,submitted_quantity,trade_id,utc_timestamp
,,,,,execution_created,exec_c8dc942476764355,,,,,0.0,,,0.010,,RUNNING,,,1970-01-01T00:00:00+00:00
,child_0001,OPEN,ce_c8dc94247676_1,,chase_order_submitted,exec_c8dc942476764355,0,,,,0.0,50000.00,0.010,0.010,,RUNNING,0.010,,1970-01-01T00:00:00+00:00
,child_0001,OPEN,ce_c8dc94247676_1,,simulator_fill,exec_c8dc942476764355,0,,,,0.0,50000.00,0.010,0.010,,RUNNING,0.010,sim_trade_000001,1970-01-01T00:00:00+00:00
,child_0001,FILLED,ce_c8dc94247676_1,,filled_reconciled,exec_c8dc942476764355,0.010,TARGET_QUANTITY_FILLED,,,0.0,50000.00,0,0.010,,COMPLETED,0.010,,1970-01-01T00:00:00+00:00
1,,,,"[""ce_c8dc94247676_1""]",result_summary,exec_c8dc942476764355,,TARGET_QUANTITY_FILLED,COMPLETED,"{""actual_duration_seconds"": ""0"", ""arrival_ask"": ""50001"", ""arrival_bid"": ""50000"", ""arrival_mid"": ""50000.5"", ""cancels_requested"": 0, ""child_order_count"": 1, ""completion_rate"": ""1"", ""duplicate_events_ignored"": 0, ""execution_vwap"": ""50000"", ""filled_quantity"": ""0.01"", ""final_status"": ""COMPLETED"", ""initial_position"": ""0"", ""maker_filled_quantity"": ""0"", ""maker_fills"": 0, ""max_reserved_exposure"": ""0.01"", ""orders_submitted"": 1, ""overfill_quantity"": ""0"", ""price_bound_violations"": 0, ""rate_limit_backoff_blocks"": 0, ""rate_limit_backoff_seconds"": ""1"", ""rate_limit_backoffs"": 0, ""raw_required_quantity"": ""0.01"", ""rejections"": 0, ""reprices"": 0, ""requested_duration_seconds"": 100, ""required_quantity"": ""0.01"", ""retryable_order_reject_backoff_blocks"": 0, ""retryable_order_reject_backoff_seconds"": ""1"", ""retryable_order_reject_limit"": 3, ""retryable_order_reject_same_price_blocks"": 0, ""retryable_order_reject_streak"": 0, ""retryable_order_rejections"": 0, ""side"": ""BUY"", ""slippage_bps"": ""-0.09999900000999990000099999"", ""taker_filled_quantity"": ""0"", ""taker_fills"": 0, ""target_dust_quantity"": ""0"", ""target_position"": ""0.010"", ""twap_slice_ledger"": [], ""unfilled_quantity"": ""0"", ""unknown_orders_reconciled"": 0}",0.0,,,0.010,BUY,COMPLETED,,,1970-01-01T00:00:00+00:00
