armed_prefix,child_order_count,child_order_id,child_status,client_order_id,client_order_ids,event,execution_id,filled_during_cancel_quantity,filled_quantity,final_reason,final_status,metrics,monotonic_time,price,remaining_quantity,required_quantity,side,status,submitted_quantity,utc_timestamp
ce_6106c8ca78fa_,,,,,,execution_created,exec_6106c8ca78fa4659,,,,,,0.0,,,0.010,,RUNNING,,1970-01-01T00:00:00+00:00
,,child_0001,OPEN,ce_6106c8ca78fa_1,,initial_child_submitted,exec_6106c8ca78fa4659,,0,,,,0.0,50000.00,0.010,0.010,,RUNNING,0.010,1970-01-01T00:00:00+00:00
,,child_0002,OPEN,ce_6106c8ca78fa_2,,cancel_fill_race_repriced,exec_6106c8ca78fa4659,0.004,0,,,,0.6,50030.00,0.006,0.010,,RUNNING,0.006,1970-01-01T00:00:00.600000+00:00
,,child_0002,FILLED,ce_6106c8ca78fa_2,,replacement_child_filled_terminal,exec_6106c8ca78fa4659,,0.006,TARGET_QUANTITY_FILLED,,,0.6,50030.00,0,0.010,,COMPLETED,0.006,1970-01-01T00:00:00.600000+00:00
,2,,,,"[""ce_6106c8ca78fa_1"", ""ce_6106c8ca78fa_2""]",result_summary,exec_6106c8ca78fa4659,,,TARGET_QUANTITY_FILLED,COMPLETED,"{""actual_duration_seconds"": ""0.6"", ""arrival_ask"": ""50001"", ""arrival_bid"": ""50000"", ""arrival_mid"": ""50000.5"", ""cancels_requested"": 1, ""child_order_count"": 2, ""completion_rate"": ""1"", ""deadline_aggressive_orders_submitted_after_deadline"": 0, ""decision_deadline_elapsed_seconds"": ""0.6"", ""duplicate_events_ignored"": 0, ""execution_vwap"": ""50018"", ""filled_quantity"": ""0.01"", ""final_status"": ""COMPLETED"", ""initial_position"": ""0"", ""maker_filled_quantity"": ""0"", ""maker_fills"": 0, ""max_reserved_exposure"": ""0.01"", ""orders_submitted"": 2, ""orders_submitted_after_deadline"": 0, ""overfill_quantity"": ""0"", ""price_bound_violations"": 0, ""rate_limit_backoff_blocks"": 0, ""rate_limit_backoff_seconds"": ""1"", ""rate_limit_backoffs"": 0, ""raw_required_quantity"": ""0.01"", ""rejections"": 0, ""reprices"": 1, ""requested_duration_seconds"": 100, ""required_quantity"": ""0.01"", ""retryable_order_reject_backoff_blocks"": 0, ""retryable_order_reject_backoff_seconds"": ""1"", ""retryable_order_reject_limit"": 3, ""retryable_order_reject_same_price_blocks"": 0, ""retryable_order_reject_streak"": 0, ""retryable_order_rejections"": 0, ""scheduled_orders_submitted_after_deadline"": 0, ""side"": ""BUY"", ""slippage_bps"": ""3.49996500034999650003499965"", ""taker_filled_quantity"": ""0"", ""taker_fills"": 0, ""target_dust_quantity"": ""0"", ""target_position"": ""0.010"", ""terminal_cleanup_duration_seconds"": ""0"", ""total_lifecycle_duration_seconds"": ""0.6"", ""twap_slice_ledger"": [], ""unfilled_quantity"": ""0"", ""unknown_orders_reconciled"": 0}",0.6,,,0.010,BUY,COMPLETED,,1970-01-01T00:00:00.600000+00:00
