cancelled_quantity,child_order_ids,client_order_ids,execution_id,filled_quantity,open_quantity,planned_cumulative_quantity,planned_slice_quantity,schedule_deficit,slice_end_seconds,slice_index,slice_start_seconds,submitted_quantity,unfilled_quantity
0,[],[],exec_30ed2b4cac4346a1,0,0,0.001,0.001,0.001,2.4,1,0.0,0,0.001
0,"[""child_0001""]","[""ce_30ed2b4cac43_1""]",exec_30ed2b4cac4346a1,0,0,0.002,0.001,0.002,4.8,2,2.4,0.0010,0.001
0,[],[],exec_30ed2b4cac4346a1,0,0,0.003,0.001,0.003,7.2,3,4.8,0,0.001
0,[],[],exec_30ed2b4cac4346a1,0,0,0.004,0.001,0.004,9.6,4,7.2,0,0.001
0,[],[],exec_30ed2b4cac4346a1,0,0,0.005,0.001,0.005,12.0,5,9.6,0,0.001
